time_msc;open;sma;current_delta;forecast_delta
2024-05-27 12:24:25;124835;124823,9286;1,785714286;1,428571429
2024-05-27 12:24:30;124840;124825,3571;1,428571429;2,5
2024-05-27 12:24:35;124850;124827,8571;2,5;2,857142857
2024-05-27 12:24:40;124850;124830,7143;2,857142857;1,071428571
2024-05-27 12:24:45;124840;124831,7857;1,071428571;1,071428571
2024-05-27 12:24:50;124835;124832,8571;1,071428571;0
2024-05-27 12:24:55;124820;124832,8571;0;0
2024-05-27 12:25:00;124830;124832,8571;0;0,714285714
2024-05-27 12:25:05;124840;124833,5714;0,714285714;1,428571429
2024-05-27 12:25:10;124850;124835;1,428571429;-0,357142857
2024-05-27 12:25:15;124820;124834,6429;-0,357142857;0,357142857
2024-05-27 12:25:20;124830;124835;0,357142857;0,357142857
2024-05-27 12:25:25;124830;124835,3571;0,357142857;0,714285714
2024-05-27 12:25:30;124835;124836,0714;0,714285714;-0,357142857
2024-05-27 12:25:35;124830;124835,7143;-0,357142857;0
2024-05-27 12:25:40;124840;124835,7143;0;-0,357142857
2024-05-27 12:25:45;124845;124835,3571;-0,357142857;-1,071428571
2024-05-27 12:25:50;124835;124834,2857;-1,071428571;-0,357142857
2024-05-27 12:25:55;124835;124833,9286;-0,357142857;-0,357142857
2024-05-27 12:26:00;124830;124833,5714;-0,357142857;1,785714286
2024-05-27 12:26:05;124845;124835,3571;1,785714286;0,714285714
2024-05-27 12:26:10;124840;124836,0714;0,714285714;-0,357142857
2024-05-27 12:26:15;124835;124835,7143;-0,357142857;-1,428571429
2024-05-27 12:26:20;124830;124834,2857;-1,428571429;1,428571429
2024-05-27 12:26:25;124840;124835,7143;1,428571429;0,714285714
2024-05-27 12:26:30;124840;124836,4286;0,714285714;0,357142857
2024-05-27 12:26:35;124835;124836,7857;0,357142857;0,714285714
2024-05-27 12:26:40;124845;124837,5;0,714285714;0,714285714
2024-05-27 12:26:45;124840;124838,2143;0,714285714;-0,714285714
2024-05-27 12:26:50;124830;124837,5;-0,714285714;-1,071428571
2024-05-27 12:26:55;124830;124836,4286;-1,071428571;-0,357142857
2024-05-27 12:27:00;124830;124836,0714;-0,357142857;0
2024-05-27 12:27:05;124835;124836,0714;0;0
2024-05-27 12:27:10;124830;124836,0714;0;-1,428571429
2024-05-27 12:27:15;124825;124834,6429;-1,428571429;-1,071428571
2024-05-27 12:27:20;124825;124833,5714;-1,071428571;-0,714285714
2024-05-27 12:27:25;124825;124832,8571;-0,714285714;0,714285714
2024-05-27 12:27:30;124840;124833,5714;0,714285714;-1,071428571
2024-05-27 12:27:35;124825;124832,5;-1,071428571;-1,071428571
2024-05-27 12:27:40;124825;124831,4286;-1,071428571;-1,785714286
2024-05-27 12:27:45;124810;124829,6429;-1,785714286;-2,5
2024-05-27 12:27:50;124810;124827,1429;-2,5;-0,714285714
2024-05-27 12:27:55;124830;124826,4286;-0,714285714;0
2024-05-27 12:28:00;124830;124826,4286;0;0
2024-05-27 12:28:05;124830;124826,4286;0;-1,071428571
2024-05-27 12:28:10;124815;124825,3571;-1,071428571;-1,428571429
2024-05-27 12:28:15;124815;124823,9286;-1,428571429;-0,714285714
2024-05-27 12:28:20;124820;124823,2143;-0,714285714;0
2024-05-27 12:28:25;124825;124823,2143;0;0
2024-05-27 12:28:30;124825;124823,2143;0;-1,071428571
2024-05-27 12:28:35;124810;124822,1429;-1,071428571;-2,142857143
2024-05-27 12:28:40;124810;124820;-2,142857143;-0,714285714
2024-05-27 12:28:45;124815;124819,2857;-0,714285714;-1,071428571
2024-05-27 12:28:50;124810;124818,2143;-1,071428571;0,357142857
2024-05-27 12:28:55;124815;124818,5714;0,357142857;0,714285714
2024-05-27 12:29:00;124820;124819,2857;0,714285714;0
2024-05-27 12:29:05;124830;124819,2857;0;-0,714285714
2024-05-27 12:29:10;124820;124818,5714;-0,714285714;0
2024-05-27 12:29:15;124830;124818,5714;0;1,071428571
2024-05-27 12:29:20;124830;124819,6429;1,071428571;-0,357142857
2024-05-27 12:29:25;124810;124819,2857;-0,357142857;0,714285714
2024-05-27 12:29:30;124830;124820;0,714285714;-0,714285714
2024-05-27 12:29:35;124815;124819,2857;-0,714285714;-1,071428571
2024-05-27 12:29:40;124810;124818,2143;-1,071428571;0
2024-05-27 12:29:45;124810;124818,2143;0;0
2024-05-27 12:29:50;124810;124818,2143;0;0
2024-05-27 12:29:55;124815;124818,2143;0;0,357142857
2024-05-27 12:30:00;124815;124818,5714;0,357142857;1,428571429
2024-05-27 12:30:05;124835;124820;1,428571429;1,071428571
2024-05-27 12:30:10;124835;124821,0714;1,071428571;0
2024-05-27 12:30:15;124830;124821,0714;0;0,714285714
2024-05-27 12:30:20;124830;124821,7857;0,714285714;0,714285714
2024-05-27 12:30:25;124840;124822,5;0,714285714;1,071428571
2024-05-27 12:30:30;124845;124823,5714;1,071428571;1,785714286
2024-05-27 12:30:35;124835;124825,3571;1,785714286;0,714285714
2024-05-27 12:30:40;124840;124826,0714;0,714285714;2,142857143
2024-05-27 12:30:45;124845;124828,2143;2,142857143;2,5
2024-05-27 12:30:50;124845;124830,7143;2,5;2,142857143
2024-05-27 12:30:55;124840;124832,8571;2,142857143;2,5
2024-05-27 12:31:00;124845;124835,3571;2,5;2,142857143
2024-05-27 12:31:05;124845;124837,5;2,142857143;2,142857143
2024-05-27 12:31:10;124845;124839,6429;2,142857143;1,071428571
2024-05-27 12:31:15;124850;124840,7143;1,071428571;2,142857143
2024-05-27 12:31:20;124865;124842,8571;2,142857143;2,5
2024-05-27 12:31:25;124865;124845,3571;2,5;2,142857143
2024-05-27 12:31:30;124860;124847,5;2,142857143;1,428571429
2024-05-27 12:31:35;124860;124848,9286;1,428571429;1,428571429
2024-05-27 12:31:40;124865;124850,3571;1,428571429;2,142857143
2024-05-27 12:31:45;124865;124852,5;2,142857143;1,785714286
2024-05-27 12:31:50;124865;124854,2857;1,785714286;1,428571429
2024-05-27 12:31:55;124865;124855,7143;1,428571429;0,714285714
2024-05-27 12:32:00;124855;124856,4286;0,714285714;1,785714286
2024-05-27 12:32:05;124865;124858,2143;1,785714286;1,785714286
2024-05-27 12:32:10;124870;124860;1,785714286;1,428571429
2024-05-27 12:32:15;124865;124861,4286;1,428571429;1,785714286
2024-05-27 12:32:20;124870;124863,2143;1,785714286;1,071428571
2024-05-27 12:32:25;124865;124864,2857;1,071428571;-0,714285714
2024-05-27 12:32:30;124855;124863,5714;-0,714285714;-0,714285714
2024-05-27 12:32:35;124855;124862,8571;-0,714285714;0
2024-05-27 12:32:40;124860;124862,8571;0;0
2024-05-27 12:32:45;124860;124862,8571;0;-1,785714286
2024-05-27 12:32:50;124840;124861,0714;-1,785714286;-1,428571429
2024-05-27 12:32:55;124845;124859,6429;-1,428571429;-1,428571429
2024-05-27 12:33:00;124845;124858,2143;-1,428571429;-2,142857143
2024-05-27 12:33:05;124835;124856,0714;-2,142857143;-1,428571429
2024-05-27 12:33:10;124835;124854,6429;-1,428571429;-2,5
2024-05-27 12:33:15;124830;124852,1429;-2,5;-2,5
2024-05-27 12:33:20;124835;124849,6429;-2,5;-2,142857143
2024-05-27 12:33:25;124835;124847,5;-2,142857143;-2,5
2024-05-27 12:33:30;124835;124845;-2,5;-1,428571429
2024-05-27 12:33:35;124845;124843,5714;-1,428571429;-1,071428571
2024-05-27 12:33:40;124840;124842,5;-1,071428571;-1,071428571
2024-05-27 12:33:45;124840;124841,4286;-1,071428571;-1,785714286
2024-05-27 12:33:50;124835;124839,6429;-1,785714286;-0,714285714
2024-05-27 12:33:55;124850;124838,9286;-0,714285714;0,714285714
2024-05-27 12:34:00;124850;124839,6429;0,714285714;0
2024-05-27 12:34:05;124845;124839,6429;0;0,357142857
2024-05-27 12:34:10;124850;124840;0,357142857;1,071428571
2024-05-27 12:34:15;124850;124841,0714;1,071428571;0,714285714
2024-05-27 12:34:20;124845;124841,7857;0,714285714;0,714285714
2024-05-27 12:34:25;124840;124842,5;0,714285714;1,071428571
2024-05-27 12:34:30;124850;124843,5714;1,071428571;2,142857143
2024-05-27 12:34:35;124865;124845,7143;2,142857143;2,857142857
2024-05-27 12:34:40;124875;124848,5714;2,857142857;1,785714286
2024-05-27 12:34:45;124870;124850,3571;1,785714286;2,142857143
2024-05-27 12:34:50;124870;124852,5;2,142857143;1,071428571
2024-05-27 12:34:55;124855;124853,5714;1,071428571;1,785714286
2024-05-27 12:35:00;124860;124855,3571;1,785714286;1,071428571
2024-05-27 12:35:05;124865;124856,4286;1,071428571;1,428571429
