Brick;Brick.EqualityContract;Brick.Date;Brick.Type;Brick.Open;Brick.High;Brick.Low;Brick.Close;Brick.TicksCount;Brick.Volume
"Brick { Date = 10/06/2024 16:47:34, Type = Up, Open = 120845, High = 120895, Low = 120845, Close = 120895, TicksCount = 9856, Volume = 39070 }";Application.Range.Brick;"10/06/2024 16:47:34";Up;120845;120895;120845;120895;9856;39070
"Brick { Date = 10/06/2024 16:46:40, Type = Down, Open = 120895, High = 120910, Low = 120845, Close = 120845, TicksCount = 8545, Volume = 37035 }";Application.Range.Brick;"10/06/2024 16:46:40";Down;120895;120910;120845;120845;8545;37035
"Brick { Date = 10/06/2024 16:40:52, Type = Down, Open = 120945, High = 120985, Low = 120895, Close = 120895, TicksCount = 24745, Volume = 104850 }";Application.Range.Brick;"10/06/2024 16:40:52";Down;120945;120985;120895;120895;24745;104850
"Brick { Date = 10/06/2024 16:30:50, Type = Up, Open = 120895, High = 120945, Low = 120850, Close = 120945, TicksCount = 42139, Volume = 184798 }";Application.Range.Brick;"10/06/2024 16:30:50";Up;120895;120945;120850;120945;42139;184798
"Brick { Date = 10/06/2024 16:28:03, Type = Down, Open = 120945, High = 120980, Low = 120895, Close = 120895, TicksCount = 16247, Volume = 67922 }";Application.Range.Brick;"10/06/2024 16:28:03";Down;120945;120980;120895;120895;16247;67922
"Brick { Date = 10/06/2024 16:19:20, Type = Down, Open = 120995, High = 121035, Low = 120945, Close = 120945, TicksCount = 34286, Volume = 141690 }";Application.Range.Brick;"10/06/2024 16:19:20";Down;120995;121035;120945;120945;34286;141690
"Brick { Date = 10/06/2024 16:17:40, Type = Up, Open = 120945, High = 120995, Low = 120920, Close = 120995, TicksCount = 10685, Volume = 44048 }";Application.Range.Brick;"10/06/2024 16:17:40";Up;120945;120995;120920;120995;10685;44048
"Brick { Date = 10/06/2024 16:16:01, Type = Down, Open = 120995, High = 121005, Low = 120945, Close = 120945, TicksCount = 10058, Volume = 43307 }";Application.Range.Brick;"10/06/2024 16:16:01";Down;120995;121005;120945;120945;10058;43307
"Brick { Date = 10/06/2024 16:15:06, Type = Down, Open = 121045, High = 121050, Low = 120995, Close = 120995, TicksCount = 8038, Volume = 35594 }";Application.Range.Brick;"10/06/2024 16:15:06";Down;121045;121050;120995;120995;8038;35594
"Brick { Date = 10/06/2024 16:13:33, Type = Up, Open = 120945, High = 120995, Low = 120935, Close = 120995, TicksCount = 10066, Volume = 43321 }";Application.Range.Brick;"10/06/2024 16:13:33";Up;120945;120995;120935;120995;10066;43321
"Brick { Date = 10/06/2024 15:35:15, Type = Up, Open = 120895, High = 120945, Low = 120865, Close = 120945, TicksCount = 19406, Volume = 78393 }";Application.Range.Brick;"10/06/2024 15:35:15";Up;120895;120945;120865;120945;19406;78393
"Brick { Date = 10/06/2024 15:34:37, Type = Up, Open = 120845, High = 120895, Low = 120825, Close = 120895, TicksCount = 9589, Volume = 39626 }";Application.Range.Brick;"10/06/2024 15:34:37";Up;120845;120895;120825;120895;9589;39626
"Brick { Date = 10/06/2024 15:26:19, Type = Up, Open = 120795, High = 120845, Low = 120750, Close = 120845, TicksCount = 42627, Volume = 162900 }";Application.Range.Brick;"10/06/2024 15:26:19";Up;120795;120845;120750;120845;42627;162900
"Brick { Date = 10/06/2024 14:35:18, Type = Down, Open = 121045, High = 121070, Low = 120995, Close = 120995, TicksCount = 12398, Volume = 51941 }";Application.Range.Brick;"10/06/2024 14:35:18";Down;121045;121070;120995;120995;12398;51941
"Brick { Date = 10/06/2024 14:33:41, Type = Up, Open = 120995, High = 121045, Low = 120975, Close = 121045, TicksCount = 13790, Volume = 55926 }";Application.Range.Brick;"10/06/2024 14:33:41";Up;120995;121045;120975;121045;13790;55926
"Brick { Date = 10/06/2024 14:32:55, Type = Up, Open = 120945, High = 120995, Low = 120930, Close = 120995, TicksCount = 6928, Volume = 25510 }";Application.Range.Brick;"10/06/2024 14:32:55";Up;120945;120995;120930;120995;6928;25510
"Brick { Date = 10/06/2024 14:31:32, Type = Up, Open = 120895, High = 120945, Low = 120885, Close = 120945, TicksCount = 8569, Volume = 37395 }";Application.Range.Brick;"10/06/2024 14:31:32";Up;120895;120945;120885;120945;8569;37395
"Brick { Date = 10/06/2024 14:30:13, Type = Down, Open = 120945, High = 120975, Low = 120895, Close = 120895, TicksCount = 10955, Volume = 46090 }";Application.Range.Brick;"10/06/2024 14:30:13";Down;120945;120975;120895;120895;10955;46090
"Brick { Date = 10/06/2024 14:27:27, Type = Down, Open = 120995, High = 121040, Low = 120945, Close = 120945, TicksCount = 20213, Volume = 85319 }";Application.Range.Brick;"10/06/2024 14:27:27";Down;120995;121040;120945;120945;20213;85319
"Brick { Date = 10/06/2024 14:26:00, Type = Up, Open = 120945, High = 120995, Low = 120940, Close = 120995, TicksCount = 10103, Volume = 38659 }";Application.Range.Brick;"10/06/2024 14:26:00";Up;120945;120995;120940;120995;10103;38659
"Brick { Date = 10/06/2024 14:25:09, Type = Up, Open = 120895, High = 120945, Low = 120880, Close = 120945, TicksCount = 9650, Volume = 43916 }";Application.Range.Brick;"10/06/2024 14:25:09";Up;120895;120945;120880;120945;9650;43916
"Brick { Date = 10/06/2024 14:24:21, Type = Down, Open = 120945, High = 120975, Low = 120895, Close = 120895, TicksCount = 9943, Volume = 44268 }";Application.Range.Brick;"10/06/2024 14:24:21";Down;120945;120975;120895;120895;9943;44268
